dep,date_de_passage,sursaud_cl_age_corona,nbre_pass_corona,nbre_pass_tot,nbre_hospit_corona,nbre_pass_corona_h,nbre_pass_corona_f,nbre_pass_tot_h,nbre_pass_tot_f,nbre_hospit_corona_h,nbre_hospit_corona_f,nbre_acte_corona,nbre_acte_tot,nbre_acte_corona_h,nbre_acte_corona_f,nbre_acte_tot_h,nbre_acte_tot_f
05,2020-03-03,0,1,144,1,0,1,74,70,0,1,,,,,,
05,2020-03-04,0,3,164,3,1,2,81,83,1,2,,,,,,
05,2020-03-05,0,2,135,2,1,1,83,52,1,1,,,,,,
05,2020-03-06,0,2,154,1,1,1,77,77,1,0,,,,,,
05,2020-03-07,0,7,218,1,4,3,118,100,1,0,,,,,,
05,2020-03-08,0,9,220,1,7,2,117,103,1,0,,,,,,
05,2020-03-09,0,23,187,3,11,12,89,98,2,1,,,,,,
05,2020-03-10,0,14,144,0,5,9,73,71,0,0,,,,,,
05,2020-03-11,0,4,165,2,3,1,91,74,2,0,,,,,,
05,2020-03-12,0,23,166,1,8,15,86,80,0,1,,,,,,
05,2020-03-13,0,10,145,1,3,7,72,73,1,0,,,,,,
05,2020-03-14,0,14,173,3,3,11,83,90,0,3,,,,,,
05,2020-03-15,0,15,154,1,7,8,75,79,1,0,,,,,,
05,2020-03-16,0,26,119,3,12,14,69,50,0,3,,,,,,
05,2020-03-17,0,29,96,2,9,20,45,51,0,2,,,,,,
05,2020-03-18,0,30,83,8,15,15,41,42,5,3,,,,,,
05,2020-03-19,0,13,104,4,7,6,56,48,2,2,,,,,,
05,2020-03-20,0,44,97,3,16,28,43,54,2,1,,,,,,
05,2020-03-21,0,0,91,0,0,0,49,42,0,0,,,,,,
06,2020-02-24,0,0,1050,0,0,0,547,501,0,0,0,171,0,0,62,109
06,2020-02-25,0,0,910,0,0,0,479,431,0,0,0,170,0,0,80,90
06,2020-02-26,0,0,881,0,0,0,451,430,0,0,0,104,0,0,46,58
06,2020-02-27,0,0,911,0,0,0,496,415,0,0,0,135,0,0,55,80
06,2020-02-28,0,3,928,3,1,2,486,442,1,2,0,141,0,0,49,92
06,2020-02-29,0,4,895,0,2,2,476,418,0,0,0,260,0,0,106,154
06,2020-03-01,0,2,893,2,0,2,473,420,0,2,0,201,0,0,102,99
06,2020-03-02,0,3,937,2,2,1,471,464,2,0,0,155,0,0,68,87
06,2020-03-03,0,1,841,1,1,0,438,403,1,0,0,199,0,0,86,113
06,2020-03-04,0,2,883,2,1,1,444,439,1,1,0,169,0,0,66,103
06,2020-03-05,0,6,845,6,4,2,413,431,4,2,0,197,0,0,75,122
06,2020-03-06,0,10,855,8,6,4,453,400,5,3,0,149,0,0,68,81
06,2020-03-07,0,28,904,16,14,14,478,426,6,10,0,171,0,0,89,82
06,2020-03-08,0,27,888,18,16,11,483,405,11,7,0,181,0,0,69,112
06,2020-03-09,0,33,1020,25,16,17,521,499,14,11,0,183,0,0,82,101
06,2020-03-10,0,22,806,17,10,12,422,383,9,8,0,207,0,0,101,106
06,2020-03-11,0,46,862,40,22,24,458,404,19,21,0,132,0,0,55,77
06,2020-03-12,0,19,880,17,9,10,465,415,7,10,0,161,0,0,58,103
06,2020-03-13,0,71,785,61,38,33,399,386,34,27,0,101,0,0,45,56
06,2020-03-14,0,44,779,30,18,26,413,366,14,16,0,230,0,0,89,141
06,2020-03-15,0,25,663,15,15,10,325,338,9,6,0,200,0,0,82,118
06,2020-03-16,0,36,614,26,15,21,338,276,11,15,1,178,0,1,66,112
06,2020-03-17,0,53,608,35,27,26,334,273,20,15,13,168,7,6,71,97
06,2020-03-18,0,51,539,24,17,34,283,256,10,14,2,143,0,2,54,89
06,2020-03-19,0,43,481,28,17,26,237,244,12,16,15,168,6,9,61,107
06,2020-03-20,0,37,524,15,20,17,282,241,9,6,9,165,1,8,59,106
06,2020-03-21,0,37,463,18,10,27,224,239,8,10,31,214,8,23,90,124
07,2020-02-24,0,0,184,0,0,0,89,95,0,0,,,,,,
07,2020-02-25,0,0,159,0,0,0,84,75,0,0,,,,,,
07,2020-02-26,0,0,174,0,0,0,86,88,0,0,,,,,,
07,2020-02-27,0,0,151,0,0,0,79,72,0,0,,,,,,
07,2020-02-28,0,0,160,0,0,0,84,76,0,0,,,,,,
07,2020-02-29,0,0,143,0,0,0,76,67,0,0,,,,,,
07,2020-03-01,0,0,158,0,0,0,87,71,0,0,,,,,,
07,2020-03-02,0,1,183,0,1,0,102,81,0,0,,,,,,
07,2020-03-03,0,1,133,0,0,1,61,72,0,0,,,,,,
07,2020-03-04,0,0,129,0,0,0,71,58,0,0,,,,,,
07,2020-03-05,0,0,140,0,0,0,68,72,0,0,,,,,,
07,2020-03-06,0,0,145,0,0,0,79,66,0,0,,,,,,
07,2020-03-07,0,0,128,0,0,0,60,68,0,0,,,,,,
07,2020-03-08,0,0,162,0,0,0,85,77,0,0,,,,,,
07,2020-03-09,0,0,126,0,0,0,66,60,0,0,,,,,,
07,2020-03-10,0,0,138,0,0,0,65,73,0,0,,,,,,
07,2020-03-11,0,2,159,0,1,1,91,68,0,0,,,,,,
07,2020-03-12,0,0,174,0,0,0,82,92,0,0,,,,,,
07,2020-03-13,0,1,138,0,1,0,62,76,0,0,,,,,,
07,2020-03-14,0,1,130,0,1,0,70,60,0,0,,,,,,
07,2020-03-15,0,0,120,0,0,0,61,59,0,0,,,,,,
07,2020-03-16,0,3,120,1,2,1,57,63,1,0,,,,,,
07,2020-03-17,0,2,112,0,0,2,58,54,0,0,,,,,,
07,2020-03-18,0,5,94,0,2,3,42,52,0,0,,,,,,
07,2020-03-19,0,6,99,0,2,4,41,58,0,0,,,,,,
07,2020-03-20,0,2,76,0,2,0,37,39,0,0,,,,,,
07,2020-03-21,0,3,85,1,1,2,47,38,0,1,,,,,,
08,2020-02-24,0,0,267,0,0,0,142,125,0,0,,,,,,
08,2020-02-25,0,0,251,0,0,0,110,141,0,0,,,,,,
08,2020-02-26,0,0,253,0,0,0,131,122,0,0,,,,,,
08,2020-02-27,0,0,205,0,0,0,98,107,0,0,,,,,,
08,2020-02-28,0,0,247,0,0,0,118,129,0,0,,,,,,
08,2020-02-29,0,0,234,0,0,0,103,131,0,0,,,,,,
08,2020-03-01,0,0,220,0,0,0,112,108,0,0,,,,,,
08,2020-03-02,0,0,276,0,0,0,154,122,0,0,,,,,,
08,2020-03-03,0,0,243,0,0,0,124,119,0,0,,,,,,
08,2020-03-04,0,0,219,0,0,0,129,90,0,0,,,,,,
08,2020-03-05,0,0,233,0,0,0,103,130,0,0,,,,,,
08,2020-03-06,0,0,243,0,0,0,125,118,0,0,,,,,,
08,2020-03-07,0,0,245,0,0,0,129,116,0,0,,,,,,
08,2020-03-08,0,1,227,0,1,0,116,111,0,0,,,,,,
08,2020-03-09,0,0,236,0,0,0,126,110,0,0,,,,,,
08,2020-03-10,0,0,197,0,0,0,108,89,0,0,,,,,,
08,2020-03-11,0,0,235,0,0,0,138,97,0,0,,,,,,
08,2020-03-12,0,0,193,0,0,0,88,105,0,0,,,,,,
08,2020-03-13,0,0,193,0,0,0,104,89,0,0,,,,,,
08,2020-03-14,0,0,211,0,0,0,108,103,0,0,,,,,,
08,2020-03-15,0,1,185,0,1,0,121,64,0,0,,,,,,
08,2020-03-16,0,0,161,0,0,0,86,75,0,0,,,,,,
08,2020-03-17,0,0,150,0,0,0,86,64,0,0,,,,,,
08,2020-03-18,0,0,145,0,0,0,70,75,0,0,,,,,,
08,2020-03-19,0,0,115,0,0,0,58,57,0,0,,,,,,
08,2020-03-20,0,1,104,0,0,1,57,47,0,0,,,,,,
08,2020-03-21,0,1,94,0,0,1,50,44,0,0,,,,,,
09,2020-02-24,0,0,164,0,0,0,84,80,0,0,,,,,,
09,2020-02-25,0,0,142,0,0,0,70,72,0,0,,,,,,
09,2020-02-26,0,0,126,0,0,0,61,65,0,0,,,,,,
09,2020-02-27,0,0,120,0,0,0,70,50,0,0,,,,,,
09,2020-02-28,0,0,136,0,0,0,66,70,0,0,,,,,,
09,2020-02-29,0,0,149,0,0,0,84,65,0,0,,,,,,
09,2020-03-01,0,0,138,0,0,0,73,65,0,0,,,,,,
09,2020-03-02,0,0,142,0,0,0,75,67,0,0,,,,,,
09,2020-03-03,0,0,121,0,0,0,60,61,0,0,,,,,,
09,2020-03-04,0,0,123,0,0,0,69,54,0,0,,,,,,
09,2020-03-05,0,0,121,0,0,0,48,73,0,0,,,,,,
09,2020-03-06,0,0,128,0,0,0,65,63,0,0,,,,,,
09,2020-03-07,0,0,122,0,0,0,59,63,0,0,,,,,,
09,2020-03-08,0,0,144,0,0,0,75,69,0,0,,,,,,
09,2020-03-09,0,0,122,0,0,0,60,62,0,0,,,,,,
09,2020-03-10,0,0,108,0,0,0,54,54,0,0,,,,,,
09,2020-03-11,0,2,132,0,1,1,73,59,0,0,,,,,,
09,2020-03-12,0,1,138,0,1,0,69,69,0,0,,,,,,
09,2020-03-13,0,2,112,0,0,2,57,55,0,0,,,,,,
09,2020-03-14,0,0,122,0,0,0,69,53,0,0,,,,,,
09,2020-03-15,0,7,102,1,4,3,60,42,0,1,,,,,,
09,2020-03-16,0,3,75,1,0,3,46,29,0,1,,,,,,
09,2020-03-17,0,0,45,0,0,0,18,27,0,0,,,,,,
09,2020-03-18,0,1,60,0,0,1,37,23,0,0,,,,,,
09,2020-03-19,0,0,73,0,0,0,35,38,0,0,,,,,,
09,2020-03-20,0,0,55,0,0,0,33,22,0,0,,,,,,
09,2020-03-21,0,0,49,0,0,0,29,20,0,0,,,,,,
10,2020-02-24,0,0,203,0,0,0,97,105,0,0,0,112,0,0,46,66
10,2020-02-25,0,0,194,0,0,0,102,92,0,0,0,137,0,0,61,76
10,2020-02-26,0,0,209,0,0,0,108,101,0,0,0,142,0,0,56,86
10,2020-02-27,0,0,205,0,0,0,107,98,0,0,0,116,0,0,55,61
10,2020-02-28,0,0,177,0,0,0,79,98,0,0,0,102,0,0,52,50
10,2020-02-29,0,0,203,0,0,0,97,106,0,0,0,190,0,0,78,112
10,2020-03-01,0,0,187,0,0,0,85,102,0,0,0,157,0,0,71,86
10,2020-03-02,0,0,210,0,0,0,103,106,0,0,0,138,0,0,62,76
10,2020-03-03,0,0,198,0,0,0,107,91,0,0,0,150,0,0,59,91
10,2020-03-04,0,0,206,0,0,0,112,93,0,0,1,147,0,1,68,79
10,2020-03-05,0,0,184,0,0,0,77,106,0,0,0,112,0,0,50,62
10,2020-03-06,0,0,180,0,0,0,79,100,0,0,0,140,0,0,62,78
10,2020-03-07,0,0,186,0,0,0,108,76,0,0,0,154,0,0,71,83
10,2020-03-08,0,0,197,0,0,0,95,100,0,0,0,147,0,0,67,80
10,2020-03-09,0,0,213,0,0,0,107,106,0,0,0,143,0,0,71,72
10,2020-03-10,0,0,219,0,0,0,105,114,0,0,0,141,0,0,69,72
10,2020-03-11,0,0,168,0,0,0,87,80,0,0,0,142,0,0,55,87
10,2020-03-12,0,0,195,0,0,0,99,96,0,0,0,138,0,0,60,78
10,2020-03-13,0,0,177,0,0,0,80,97,0,0,0,135,0,0,54,81
10,2020-03-14,0,0,154,0,0,0,73,81,0,0,6,181,1,5,72,109
10,2020-03-15,0,2,169,2,1,1,80,89,1,1,0,153,0,0,62,91
10,2020-03-16,0,6,159,2,5,1,83,76,1,1,4,145,2,2,65,80
10,2020-03-17,0,2,145,1,0,2,77,68,0,1,5,132,3,2,66,66
10,2020-03-18,0,4,144,2,2,2,72,72,2,0,14,134,6,8,52,82
10,2020-03-19,0,11,112,3,6,5,59,53,2,1,4,123,2,2,64,59
10,2020-03-20,0,10,93,2,5,5,44,49,2,0,7,115,2,5,47,68
10,2020-03-21,0,8,106,2,2,6,43,63,2,0,14,103,8,6,50,53
11,2020-02-24,0,0,359,0,0,0,187,172,0,0,,,,,,
11,2020-02-25,0,0,252,0,0,0,126,126,0,0,,,,,,
11,2020-02-26,0,0,299,0,0,0,156,143,0,0,,,,,,
11,2020-02-27,0,0,300,0,0,0,144,155,0,0,,,,,,
11,2020-02-28,0,0,298,0,0,0,141,157,0,0,,,,,,
11,2020-02-29,0,0,314,0,0,0,143,171,0,0,,,,,,
11,2020-03-01,0,0,319,0,0,0,167,152,0,0,,,,,,
11,2020-03-02,0,0,290,0,0,0,144,146,0,0,,,,,,
11,2020-03-03,0,0,289,0,0,0,134,154,0,0,,,,,,
11,2020-03-04,0,0,281,0,0,0,135,146,0,0,,,,,,
11,2020-03-05,0,0,291,0,0,0,144,147,0,0,,,,,,
11,2020-03-06,0,0,295,0,0,0,150,145,0,0,,,,,,
11,2020-03-07,0,0,288,0,0,0,157,131,0,0,,,,,,
11,2020-03-08,0,0,310,0,0,0,162,148,0,0,,,,,,
11,2020-03-09,0,0,346,0,0,0,178,168,0,0,,,,,,
11,2020-03-10,0,0,287,0,0,0,149,138,0,0,,,,,,
11,2020-03-11,0,17,287,0,9,8,151,136,0,0,,,,,,
11,2020-03-12,0,3,326,0,1,2,159,167,0,0,,,,,,
11,2020-03-13,0,4,265,2,1,3,132,133,1,1,,,,,,
11,2020-03-14,0,10,255,3,5,5,130,125,1,2,,,,,,
11,2020-03-15,0,2,207,0,1,1,108,99,0,0,,,,,,
11,2020-03-16,0,12,188,4,10,2,93,95,3,1,,,,,,
11,2020-03-17,0,10,166,8,7,3,86,80,5,3,,,,,,
11,2020-03-18,0,6,155,3,2,4,77,78,1,2,,,,,,
11,2020-03-19,0,15,148,7,9,6,81,67,5,2,,,,,,
11,2020-03-20,0,12,131,5,3,9,62,69,2,3,,,,,,
11,2020-03-21,0,20,107,9,9,11,57,50,8,1,,,,,,
12,2020-02-24,0,0,165,0,0,0,78,87,0,0,,,,,,
12,2020-02-25,0,0,138,0,0,0,71,67,0,0,,,,,,
12,2020-02-26,0,0,121,0,0,0,61,60,0,0,,,,,,
12,2020-02-27,0,0,152,0,0,0,76,75,0,0,,,,,,
12,2020-02-28,0,0,151,0,0,0,71,80,0,0,,,,,,
12,2020-02-29,0,0,160,0,0,0,88,72,0,0,,,,,,
12,2020-03-01,0,0,166,0,0,0,83,83,0,0,,,,,,
12,2020-03-02,0,0,178,0,0,0,93,85,0,0,,,,,,
12,2020-03-03,0,0,124,0,0,0,68,56,0,0,,,,,,
12,2020-03-04,0,0,133,0,0,0,70,63,0,0,,,,,,
12,2020-03-05,0,0,123,0,0,0,67,56,0,0,,,,,,
12,2020-03-06,0,0,121,0,0,0,66,55,0,0,,,,,,
12,2020-03-07,0,0,133,0,0,0,70,63,0,0,,,,,,
12,2020-03-08,0,0,113,0,0,0,60,53,0,0,,,,,,
12,2020-03-09,0,0,160,0,0,0,74,86,0,0,,,,,,
12,2020-03-10,0,0,124,0,0,0,77,47,0,0,,,,,,
12,2020-03-11,0,0,136,0,0,0,82,54,0,0,,,,,,
12,2020-03-12,0,0,142,0,0,0,75,67,0,0,,,,,,
12,2020-03-13,0,0,131,0,0,0,66,65,0,0,,,,,,
12,2020-03-14,0,0,124,0,0,0,65,59,0,0,,,,,,
12,2020-03-15,0,0,91,0,0,0,46,45,0,0,,,,,,
12,2020-03-16,0,0,89,0,0,0,55,34,0,0,,,,,,
12,2020-03-17,0,0,71,0,0,0,39,32,0,0,,,,,,
12,2020-03-18,0,0,73,0,0,0,45,28,0,0,,,,,,
12,2020-03-19,0,0,63,0,0,0,33,30,0,0,,,,,,
12,2020-03-20,0,0,36,0,0,0,23,13,0,0,,,,,,
12,2020-03-21,0,0,17,0,0,0,11,6,0,0,,,,,,
13,2020-02-24,0,0,1622,0,0,0,860,762,0,0,0,222,0,0,83,138
13,2020-02-25,0,0,1428,0,0,0,719,709,0,0,0,249,0,0,107,142
13,2020-02-26,0,0,1402,0,0,0,741,661,0,0,0,214,0,0,90,124
13,2020-02-27,0,1,1352,0,1,0,699,653,0,0,0,233,0,0,102,131
13,2020-02-28,0,0,1334,0,0,0,635,698,0,0,0,240,0,0,92,148
13,2020-02-29,0,0,1504,0,0,0,757,747,0,0,0,326,0,0,128,194
13,2020-03-01,0,2,1457,0,2,0,763,694,0,0,0,306,0,0,116,190
13,2020-03-02,0,2,1533,0,0,2,796,736,0,0,0,230,0,0,88,142
13,2020-03-03,0,4,1345,2,3,1,701,644,2,0,0,197,0,0,86,111
13,2020-03-04,0,8,1364,1,6,2,689,675,1,0,0,192,0,0,69,123
13,2020-03-05,0,11,1361,0,6,5,705,656,0,0,0,245,0,0,80,164
13,2020-03-06,0,7,1359,6,5,2,704,655,4,2,0,202,0,0,76,126
13,2020-03-07,0,2,1418,2,1,1,724,693,1,1,1,231,0,1,91,137
13,2020-03-08,0,6,1412,6,3,3,752,660,3,3,7,162,6,1,80,82
13,2020-03-09,0,11,1533,2,1,10,814,719,0,2,2,228,1,1,90,138
13,2020-03-10,0,2,1344,2,2,0,751,593,2,0,3,242,2,1,109,133
13,2020-03-11,0,2,1327,1,1,1,705,622,1,0,5,223,1,4,89,134
13,2020-03-12,0,4,1311,2,3,1,704,607,2,0,4,239,1,3,110,129
13,2020-03-13,0,6,1287,3,4,2,674,613,3,0,4,222,1,3,79,140
13,2020-03-14,0,9,1266,0,3,6,659,607,0,0,11,364,2,9,140,219
13,2020-03-15,0,18,1170,10,8,10,597,573,5,5,21,319,8,13,137,182
13,2020-03-16,0,18,1025,6,4,14,559,466,2,4,13,239,7,6,111,128
13,2020-03-17,0,24,893,10,8,16,473,420,4,6,18,126,5,13,46,80
13,2020-03-18,0,39,881,12,20,19,459,422,6,6,15,168,7,8,86,82
13,2020-03-19,0,33,819,19,15,18,443,376,10,9,26,180,9,17,54,126
13,2020-03-20,0,56,809,27,27,29,435,374,14,13,19,181,8,11,67,114
13,2020-03-21,0,40,726,21,22,18,363,363,12,9,36,275,12,24,103,172
14,2020-02-24,0,0,482,0,0,0,246,236,0,0,0,367,0,0,146,221
14,2020-02-25,0,0,391,0,0,0,197,194,0,0,0,344,0,0,131,213
14,2020-02-26,0,0,413,0,0,0,224,189,0,0,0,339,0,0,143,196
14,2020-02-27,0,0,442,0,0,0,233,208,0,0,0,321,0,0,124,196
14,2020-02-28,0,0,426,0,0,0,222,204,0,0,0,306,0,0,141,165
14,2020-02-29,0,0,407,0,0,0,220,187,0,0,0,477,0,0,191,286
14,2020-03-01,0,0,392,0,0,0,215,177,0,0,0,460,0,0,195,265
14,2020-03-02,0,1,457,1,0,1,240,217,0,1,0,422,0,0,166,256
14,2020-03-03,0,1,459,0,1,0,238,221,0,0,1,353,1,0,140,213
14,2020-03-04,0,4,428,1,3,1,232,196,1,0,0,335,0,0,138,197
14,2020-03-05,0,4,441,3,2,2,236,205,2,1,2,370,1,1,166,204
14,2020-03-06,0,2,434,0,2,0,235,199,0,0,2,339,2,0,140,199
14,2020-03-07,0,3,444,2,2,1,255,189,1,1,0,454,0,0,191,263
14,2020-03-08,0,2,405,1,0,2,194,211,0,1,1,424,0,1,203,221
14,2020-03-09,0,10,456,1,2,8,239,217,1,0,0,387,0,0,147,240
